freq,unit,tra_meas,schedule,tra_cov,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,T,FRM_LD_NLD,TOT,TOTAL,AT	206643 	206221 	202642 	236633 	219448 	197543 	196459 	217785 	216621 	223421.2 	227642.8 	237700.6 	228223.4 	165013.2 	194820.2 	188182.2 
A,T,FRM_LD_NLD,TOT,TOTAL,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11518.7 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,BE	1203245 	1071346 	836409 	953582.3 	984362.7 	963614.7 	957012.2 	1014585.6 	1126234.1 	1088734 	1251173 	1416428 	1397513 	1584640 	2083632 	1729332 
A,T,FRM_LD_NLD,TOT,TOTAL,BG	18728 	19533 	17450 	21109.9 	21879.4 	18529.1 	19574.9 	23072.8 	31520 	32976.9 	34806.7 	29867.3 	28748.6 	25844 	25686 	26457 
A,T,FRM_LD_NLD,TOT,TOTAL,CH	354623 	347979 	315695 	375176.2 	390335.2 	398715.2 	400028.4 	407703.6 	401924.6 	428495.5 	486164.2 	493201.9 	459877 	272379.7 	341402.7 	364304.6 
A,T,FRM_LD_NLD,TOT,TOTAL,CY	42024 	42796 	38636 	37264.9 	29480.4 	27581 	28327.9 	28095 	27626.2 	28430 	30880.4 	32186.1 	32360.1 	24006.6 	25149.5 	22749.3 
A,T,FRM_LD_NLD,TOT,TOTAL,CZ	59911 	55906 	53924 	65620 	69206 	58707 	58147 	58312 	58445 	77704 	89278.5 	90525.8 	93669.1 	71095.4 	92726.4 	73300.5 
A,T,FRM_LD_NLD,TOT,TOTAL,DE	3418349 	3567573.1 	3338247.3 	4098042.8 	4309649.4 	4218146.4 	4231473.9 	4336163 	4325665 	4467022 	4773359 	4842716 	4684570.8 	4497805.1 	5289724 	4938859.1 
A,T,FRM_LD_NLD,TOT,TOTAL,DK	7492 	254105 	158767 	150270.8 	155662.3 	166283 	148980 	208590 	210570 	200133 	235937 	242068 	244997 	181967 	246912 	265889 
A,T,FRM_LD_NLD,TOT,TOTAL,EE	22634 	41744 	20526 	11886 	18341 	23760 	20862 	19432 	16034 	13868 	11232.9 	11474.6 	10865.6 	9131.7 	10533.1 	10789.1 
A,T,FRM_LD_NLD,TOT,TOTAL,EL	107198 	112225 	97797 	88564.3 	81354.5 	72191.6 	67262.4 	60324.4 	62331.9 	69949.5 	69073.6 	96889.2 	105403.4 	72990.4 	108850.4 	116792.5 
A,T,FRM_LD_NLD,TOT,TOTAL,ES	510579 	539803 	502585 	592336 	611974 	593523 	580847 	593902 	594393 	639237 	742442.5 	806518.3 	815612.4 	599930.3 	782676.9 	844756.1 
A,T,FRM_LD_NLD,TOT,TOTAL,EU27_2007	12709399 	12922447 	11339727.3 	13111869.6 	13539001.3 	13312199.8 	13393476.4 	14449460.3 	14579764.3 	15139750.7 	16310390.3 	16600227.3 	16005689.6 	: 	: 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,EU27_2020	: 	10903060 	9502752.1 	11009678.5 	11445047.9 	11212391.3 	11348327 	12377851.1 	12524664.1 	12979930.9 	13954132.4 	14243667.3 	13739927.9 	12426326.6 	15045040 	13861594.3 
A,T,FRM_LD_NLD,TOT,TOTAL,EU28	: 	12926271.4 	11344476.2 	13116512.8 	13542500 	13314755.1 	13397441.4 	14453820 	14583689.7 	15142564.3 	16315002.1 	16607356.8 	16009944.3 	: 	: 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,FI	146134 	147822 	126900 	165254.1 	179216.4 	195630.8 	192512.4 	190586.3 	182089 	186470.8 	188721.6 	196809.5 	225242.3 	146547.4 	178606.1 	160726.7 
A,T,FRM_LD_NLD,TOT,TOTAL,FR	1708761 	1672284 	1450562 	1525969.9 	1765732.5 	1753084.7 	1741020.6 	2361510.1 	2380931.3 	2401593 	2450326.1 	2407878.2 	2371614.1 	1938349 	2278630.1 	2139178.3 
A,T,FRM_LD_NLD,TOT,TOTAL,HR	: 	8582 	8724 	7443 	7228 	6961 	6857 	6908 	7189 	7691 	9510 	11934 	10846 	7638 	8775 	9723 
A,T,FRM_LD_NLD,TOT,TOTAL,HU	67591 	62544 	54138 	65305 	68860 	61902 	64166 	61970 	65783 	77534.7 	87276.6 	101411.2 	95590.2 	88872.4 	125901.2 	133831.6 
A,T,FRM_LD_NLD,TOT,TOTAL,IE	132754 	126855 	112049 	122265.7 	113408.7 	126833.6 	127422.8 	138202.9 	148713.5 	145768.7 	163123.2 	156264.7 	144140.8 	136802.6 	155226.6 	156941.3 
A,T,FRM_LD_NLD,TOT,TOTAL,IS	46904 	54739 	38776 	35233.6 	37557.6 	40029.7 	41490.7 	41908 	44664 	48459.1 	52869.8 	56889.4 	55099.9 	49278 	57068.8 	55877.4 
A,T,FRM_LD_NLD,TOT,TOTAL,IT	906680 	814995 	705883 	838724 	846551 	790493 	826981 	876495 	916755 	991688 	1077874 	1066221 	1021941 	776205 	1016347 	1033956 
A,T,FRM_LD_NLD,TOT,TOTAL,LT	12804 	9049 	6465 	9762 	10011 	14342 	15857 	13210 	14904 	14244.6 	15064.4 	16779 	17211.5 	19819.8 	19830.1 	20740.2 
A,T,FRM_LD_NLD,TOT,TOTAL,LU	702760 	788218 	627261 	705828.6 	666010.9 	615286.4 	673380.2 	707150 	736879.8 	801058 	892660 	895004 	853030 	905397 	1088016 	969105 
A,T,FRM_LD_NLD,TOT,TOTAL,LV	7197 	6884 	8646 	11268 	11571 	31460 	52473 	31439 	16809 	17922 	21203.6 	24627.7 	25865.7 	19246.8 	27062.3 	20123.4 
A,T,FRM_LD_NLD,TOT,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	898.3 	869 	914.7 	871.6 	337.2 	466.6 	419.5 
A,T,FRM_LD_NLD,TOT,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	: 	2647 	2939 	2820 	3298 	3407 	2132 	3039 	2635 
A,T,FRM_LD_NLD,TOT,TOTAL,MT	17990 	18222 	17496 	16882.3 	16203.9 	16492.7 	16028.5 	15602 	16405.4 	15690.3 	16194.4 	17677.1 	12209.6 	13444.2 	15998 	17551.6 
A,T,FRM_LD_NLD,TOT,TOTAL,NL	1709271 	1648522 	1371235 	1600381 	1614894.7 	1563499.7 	1620037.6 	1727454.8 	1712031.3 	1831791.8 	1865105.5 	1840418.8 	1703556.1 	1591388.6 	1807924.4 	1553481.8 
A,T,FRM_LD_NLD,TOT,TOTAL,NO	: 	: 	51357 	49414 	65742 	78420 	106722 	116390 	127698 	127745 	169295 	174840 	187379 	176298 	194435 	173035 
A,T,FRM_LD_NLD,TOT,TOTAL,PL	44730 	58148 	53510 	61238.1 	68485 	74831 	77559.9 	84386.2 	92690 	107880.3 	121303.2 	134673.1 	143109.5 	111278.6 	143385 	201957.3 
A,T,FRM_LD_NLD,TOT,TOTAL,PT	130827 	136364 	125501 	137131 	121465 	117645 	126612 	134982 	133416 	136578 	164732 	173493 	194214 	133074.8 	174997.5 	206167.1 
A,T,FRM_LD_NLD,TOT,TOTAL,RO	19229 	24431 	23482 	24512 	26156 	28523 	30605 	31113 	33399 	37456 	41692 	45310 	44217 	38769 	39033 	47636 
A,T,FRM_LD_NLD,TOT,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	9914 	22350 	27375.1 	22659.1 	16751.7 	14847.9 	13647.1 
A,T,FRM_LD_NLD,TOT,TOTAL,SE	0 	205760 	161179 	186263 	164618 	141365 	130405 	141887 	146287 	147214 	159129.9 	158632.4 	162743.4 	132083 	154596.2 	146498.6 
A,T,FRM_LD_NLD,TOT,TOTAL,SI	12515 	8180 	5584 	6071 	6877 	7572 	7969 	8563 	8891 	8970 	12024.5 	12337.3 	11357.8 	10552.6 	11381.5 	12467.7 
A,T,FRM_LD_NLD,TOT,TOTAL,SK	2282 	7432 	12231 	17835 	20542 	20893 	20588 	18498 	21216 	23028 	27188.3 	24564.8 	20525.3 	24772.1 	19644.2 	18060.9 
A,T,FRM_LD_NLD,TOT,TOTAL,UK	2443483 	2411463 	2156206 	2429025.9 	2419717.6 	2428374.6 	2369878.6 	2406673 	2405225 	2511011 	2738784 	2748539 	2650232.3 	: 	: 	: 
