freq,tra_type,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT06,THS_T,BG	3471 	2255 	2646 	3281 	2840 	4007 	5085 	4983 	5619 	4841 	3593 	3245 	4526 	5721 	3878 
A,TOTAL,GT06,THS_T,CH	5149 	3868 	4535 	5536 	4799 	5373 	5223 	4334 	4425 	3905 	5297 	3998 	4231 	4327 	4349 
A,TOTAL,GT06,THS_T,CY	544 	284 	520 	646 	356 	334 	133 	306 	81 	513 	422 	469 	313 	316 	362 
A,TOTAL,GT06,THS_T,CZ	23554 	18225 	19981 	13420 	12274 	12564 	13238 	13659 	12647 	12642 	11999 	10844 	11050 	13595 	11490 
A,TOTAL,GT06,THS_T,DE	139765 	119913 	121963 	126807 	117366 	112937 	116311 	114748 	112518 	111514 	111737 	110649 	105341 	106990 	98014 
A,TOTAL,GT06,THS_T,DK	7801 	7806 	5853 	5379 	5580 	4713 	3991 	4329 	3526 	3597 	2736 	2604 	2078 	2172 	1781 
A,TOTAL,GT06,THS_T,EE	4805 	1999 	1951 	4027 	2155 	3981 	4312 	2981 	5742 	3498 	2887 	3878 	4282 	5830 	4498 
A,TOTAL,GT06,THS_T,EL	9046 	9800 	7223 	8930 	6144 	4526 	6897 	4638 	6254 	4670 	6002 	5355 	5683 	6185 	4557 
A,TOTAL,GT06,THS_T,ES	50089 	41773 	42008 	43014 	45379 	40809 	44080 	44729 	52115 	48911 	51845 	52937 	47810 	55661 	53580 
A,TOTAL,GT06,THS_T,EU27_2020	604377 	547568 	547176 	530642 	496376 	509159 	516601 	523065 	549607 	557138 	527756 	534587 	518441 	551108 	501229 
A,TOTAL,GT06,THS_T,FI	31634 	17754 	26390 	16687 	15799 	16416 	13580 	16925 	16252 	18356 	17780 	18279 	15382 	17899 	15724 
A,TOTAL,GT06,THS_T,FR	45544 	57685 	53180 	37552 	34268 	35419 	32244 	28924 	32003 	33678 	29419 	26885 	24946 	24011 	19679 
A,TOTAL,GT06,THS_T,HR	6121 	5298 	5867 	6633 	6289 	6177 	6957 	8147 	8504 	8881 	9284 	8469 	7748 	8830 	9547 
A,TOTAL,GT06,THS_T,HU	6587 	5376 	5829 	5824 	6958 	6290 	7615 	7507 	11073 	10160 	10432 	9501 	7997 	10184 	10023 
A,TOTAL,GT06,THS_T,IE	7244 	5540 	5988 	4725 	4368 	4265 	4746 	4397 	5788 	4950 	5954 	5048 	4951 	5324 	5071 
A,TOTAL,GT06,THS_T,IT	48402 	53184 	53205 	51867 	43073 	44667 	34155 	34505 	39240 	43130 	41455 	41903 	35890 	40435 	40998 
A,TOTAL,GT06,THS_T,LT	2367 	2002 	2268 	2354 	2478 	3047 	3645 	4109 	4860 	5116 	6227 	5965 	5680 	6730 	4192 
A,TOTAL,GT06,THS_T,LU	3607 	4426 	4215 	4372 	2767 	3122 	3670 	2999 	3343 	2946 	3444 	4123 	3708 	3757 	4327 
A,TOTAL,GT06,THS_T,LV	6112 	5078 	5923 	6588 	6446 	7926 	7769 	8325 	10340 	9834 	9914 	9936 	12244 	13821 	11469 
A,TOTAL,GT06,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	4 	5 	3 	3 	15 	19 	: 
A,TOTAL,GT06,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	: 	: 
A,TOTAL,GT06,THS_T,NL	28218 	24190 	27316 	26879 	24747 	25536 	26635 	26720 	24371 	24285 	23962 	24373 	24775 	27893 	23152 
A,TOTAL,GT06,THS_T,NO	5249 	4272 	9310 	5073 	5008 	5916 	4601 	8254 	4835 	3447 	3740 	4578 	4667 	5535 	4354 
A,TOTAL,GT06,THS_T,PL	51340 	49917 	58300 	63696 	65072 	79909 	82275 	79557 	82959 	90031 	77984 	87993 	92618 	99221 	82751 
A,TOTAL,GT06,THS_T,PT	10601 	10104 	8021 	10792 	8595 	8812 	9180 	9500 	8583 	9452 	8911 	9456 	7699 	8813 	9282 
A,TOTAL,GT06,THS_T,RO	15184 	13604 	8023 	7846 	8457 	9920 	9983 	10716 	11267 	10403 	10137 	10703 	9234 	11535 	11591 
A,TOTAL,GT06,THS_T,SE	45439 	39546 	28328 	28064 	26644 	23760 	31003 	41480 	40259 	44407 	31490 	32016 	47670 	37042 	37045 
A,TOTAL,GT06,THS_T,SI	2768 	2535 	2919 	2789 	2910 	2818 	2596 	2506 	3252 	3457 	3350 	3258 	2546 	2757 	2864 
A,TOTAL,GT06,THS_T,SK	5673 	5840 	3877 	4427 	4232 	5699 	5161 	4676 	5528 	5310 	5425 	4699 	4272 	4318 	3833 
A,TOTAL,GT06,THS_T,UK	99513 	78954 	82468 	67245 	57554 	56870 	48290 	56247 	48461 	39745 	48905 	48550 	: 	: 	: 
A,TOTAL,GT07,THS_T,AT	12684 	11032 	10325 	10539 	9272 	8801 	9609 	10635 	9748 	9876 	9407 	10085 	8468 	7958 	8806 
A,TOTAL,GT07,THS_T,BE	14293 	13847 	12700 	12716 	12347 	14225 	10619 	12641 	12428 	15049 	10919 	12949 	13810 	10160 	8420 
A,TOTAL,GT07,THS_T,BG	8815 	5451 	3273 	4884 	6901 	7903 	3759 	6574 	3980 	7273 	4969 	3293 	6555 	5631 	10176 
A,TOTAL,GT07,THS_T,CH	14034 	13301 	9882 	10462 	10045 	14031 	12120 	11076 	9675 	10382 	9311 	13449 	8598 	10719 	8792 
A,TOTAL,GT07,THS_T,CY	3493 	3002 	3101 	3431 	3021 	2980 	2698 	2323 	3033 	3125 	2502 	1599 	1350 	1701 	1953 
A,TOTAL,GT07,THS_T,CZ	10237 	8738 	8495 	8412 	6223 	6374 	7880 	9211 	9865 	8963 	6212 	9160 	12691 	11926 	9959 
A,TOTAL,GT07,THS_T,DE	103425 	96761 	92170 	87057 	91669 	88075 	90735 	86480 	94287 	91882 	92001 	94170 	85023 	76208 	82802 
A,TOTAL,GT07,THS_T,DK	10700 	6295 	6127 	6211 	5731 	5383 	4473 	4653 	5723 	4589 	4086 	3575 	5253 	4400 	4278 
A,TOTAL,GT07,THS_T,EE	1362 	171 	973 	1278 	912 	984 	1245 	973 	892 	1277 	781 	1061 	744 	908 	1550 
A,TOTAL,GT07,THS_T,EL	29723 	31837 	25735 	18092 	21324 	9186 	10861 	13814 	10609 	14809 	13659 	14248 	9874 	12021 	10199 
A,TOTAL,GT07,THS_T,ES	79605 	84804 	72411 	71292 	61989 	56422 	53605 	58485 	60055 	65909 	68570 	72917 	63095 	65283 	63882 
A,TOTAL,GT07,THS_T,EU27_2020	544807 	502709 	484555 	450365 	426465 	413051 	410787 	429078 	435376 	442589 	415507 	440956 	414718 	401741 	407135 
A,TOTAL,GT07,THS_T,FI	8350 	7782 	10317 	7171 	7640 	6778 	6401 	8660 	10001 	9289 	6663 	8549 	8880 	6281 	10667 
A,TOTAL,GT07,THS_T,FR	81547 	63583 	61401 	61067 	65200 	61259 	62124 	69467 	69698 	63023 	60121 	49184 	50734 	53777 	49360 
A,TOTAL,GT07,THS_T,HR	4258 	3424 	3209 	3087 	2759 	2862 	3027 	2390 	3069 	2745 	3191 	4095 	2959 	3032 	3288 
A,TOTAL,GT07,THS_T,HU	11698 	8634 	7911 	5579 	2465 	6245 	5780 	3509 	4533 	3026 	3887 	3156 	3731 	4401 	2603 
A,TOTAL,GT07,THS_T,IE	12540 	9682 	11348 	8046 	8250 	9181 	9642 	10724 	13092 	10340 	9260 	10293 	10500 	9467 	9440 
A,TOTAL,GT07,THS_T,IT	72542 	57952 	63009 	62280 	44550 	44698 	41819 	42218 	35206 	36177 	39878 	45023 	38660 	35707 	37425 
A,TOTAL,GT07,THS_T,LT	1932 	1157 	1103 	1023 	1156 	1076 	1216 	1301 	1859 	1883 	1419 	2060 	1666 	2310 	1154 
A,TOTAL,GT07,THS_T,LU	1251 	1064 	1184 	1893 	1855 	2703 	2822 	1753 	2666 	2359 	2393 	2681 	2029 	1447 	613 
A,TOTAL,GT07,THS_T,LV	1552 	1785 	1528 	1746 	1139 	1422 	1449 	1978 	2469 	2104 	2281 	2082 	1737 	2347 	2054 
A,TOTAL,GT07,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	24 	43 	36 	44 	31 	6 	: 
A,TOTAL,GT07,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	215 	: 	: 
A,TOTAL,GT07,THS_T,NL	7825 	10258 	20957 	15712 	13533 	12451 	10964 	9195 	9384 	10022 	9950 	9841 	9401 	8884 	8720 
A,TOTAL,GT07,THS_T,NO	18576 	14867 	12273 	10461 	13003 	20703 	16954 	14845 	21164 	20734 	18023 	20157 	14243 	18822 	20826 
A,TOTAL,GT07,THS_T,PL	29737 	37789 	34732 	33029 	35891 	42252 	44700 	37234 	38720 	44134 	33870 	47120 	47480 	48194 	46631 
A,TOTAL,GT07,THS_T,PT	10750 	7512 	5637 	8837 	3408 	4510 	5404 	6960 	4472 	5957 	4176 	3645 	3158 	3403 	2771 
A,TOTAL,GT07,THS_T,RO	6926 	9994 	4524 	3492 	4226 	4458 	4442 	4676 	5486 	5137 	5659 	5844 	5870 	7160 	10810 
A,TOTAL,GT07,THS_T,SE	14116 	15270 	15213 	8387 	10018 	8802 	11271 	17181 	16303 	15983 	11771 	16187 	11475 	10324 	11722 
A,TOTAL,GT07,THS_T,SI	2827 	2875 	3303 	2834 	2461 	2371 	2386 	3005 	3727 	3430 	4111 	3986 	4619 	4419 	4099 
A,TOTAL,GT07,THS_T,SK	2619 	2008 	3869 	2270 	2527 	1649 	1856 	3038 	4072 	4227 	3769 	4153 	4956 	4391 	3752 
A,TOTAL,GT07,THS_T,UK	72962 	57663 	68633 	64174 	74412 	55789 	54810 	64504 	48986 	45355 	39552 	37604 	: 	: 	: 
A,TOTAL,GT08,THS_T,AT	3710 	3883 	3687 	3393 	3926 	3475 	3576 	2929 	3911 	4033 	3846 	3469 	4240 	4339 	4348 
A,TOTAL,GT08,THS_T,BE	27454 	25170 	23282 	23060 	23167 	22712 	24214 	28535 	29435 	28257 	23342 	23294 	20171 	16201 	16628 
A,TOTAL,GT08,THS_T,BG	4330 	2253 	3093 	7581 	4125 	7298 	7335 	4523 	4944 	5024 	5854 	3111 	4153 	5944 	4773 
A,TOTAL,GT08,THS_T,CH	6154 	5297 	6798 	5195 	7547 	5468 	5844 	4485 	5697 	5523 	6130 	4461 	5363 	6205 	5174 
A,TOTAL,GT08,THS_T,CY	517 	319 	289 	389 	593 	340 	156 	293 	322 	250 	346 	365 	422 	170 	437 
A,TOTAL,GT08,THS_T,CZ	10822 	9817 	10660 	10500 	9336 	10185 	11752 	12181 	9991 	12470 	10669 	8381 	8673 	9387 	10751 
A,TOTAL,GT08,THS_T,DE	244465 	219644 	137792 	147342 	143802 	139530 	144692 	147403 	143638 	140587 	140902 	134131 	134194 	127948 	122284 
A,TOTAL,GT08,THS_T,DK	4292 	3601 	4129 	4701 	3125 	2856 	3320 	2792 	4334 	3014 	2964 	3760 	3311 	3857 	2876 
A,TOTAL,GT08,THS_T,EE	195 	413 	649 	884 	781 	1109 	738 	895 	988 	650 	652 	777 	703 	721 	874 
A,TOTAL,GT08,THS_T,EL	8166 	8362 	7677 	4927 	4886 	4528 	8751 	6292 	8054 	5847 	5574 	5735 	4570 	8229 	7277 
A,TOTAL,GT08,THS_T,ES	84979 	62023 	65102 	64395 	65097 	63074 	67678 	72776 	70538 	74075 	73486 	84377 	87139 	93855 	82826 
A,TOTAL,GT08,THS_T,EU27_2020	658781 	577545 	509996 	517796 	524212 	506621 	519022 	533058 	538707 	559893 	538514 	545711 	543900 	562326 	529552 
A,TOTAL,GT08,THS_T,FI	9587 	11861 	9914 	8441 	7979 	7990 	8734 	7738 	7425 	7476 	8122 	8038 	8024 	9237 	8936 
A,TOTAL,GT08,THS_T,FR	78487 	50246 	53470 	57336 	59243 	53195 	50884 	48972 	51362 	56436 	50773 	45826 	46540 	49175 	45154 
A,TOTAL,GT08,THS_T,HR	2728 	2279 	2018 	1947 	2286 	2063 	1909 	2125 	2560 	2511 	2817 	2260 	2639 	2649 	2547 
A,TOTAL,GT08,THS_T,HU	10348 	9797 	9091 	9944 	8935 	8421 	9857 	9481 	5496 	5123 	4672 	4106 	4039 	4500 	4489 
A,TOTAL,GT08,THS_T,IE	6982 	4052 	4207 	3827 	3583 	4554 	4141 	3936 	4610 	5179 	4686 	4522 	3501 	4501 	4615 
A,TOTAL,GT08,THS_T,IT	44174 	44766 	44655 	37677 	40406 	32610 	27468 	28533 	29919 	32454 	33561 	37244 	38674 	39273 	36986 
A,TOTAL,GT08,THS_T,LT	1652 	1599 	1753 	1848 	2103 	2445 	2744 	2896 	3118 	4329 	5121 	5098 	4591 	4829 	2042 
A,TOTAL,GT08,THS_T,LU	1679 	1823 	2505 	2810 	2379 	1882 	1965 	1591 	1551 	1637 	1534 	1907 	1810 	1264 	1449 
A,TOTAL,GT08,THS_T,LV	936 	909 	776 	806 	1366 	1056 	1310 	1753 	1841 	2309 	1612 	2006 	1393 	1459 	1274 
A,TOTAL,GT08,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	6 	8 	17 	0 	5 	8 	: 
A,TOTAL,GT08,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	: 	: 
A,TOTAL,GT08,THS_T,NL	48535 	54903 	59271 	61258 	65568 	59472 	57261 	60920 	61292 	66774 	65743 	64506 	64878 	61769 	62305 
A,TOTAL,GT08,THS_T,NO	5770 	9642 	4626 	7228 	4933 	4148 	8307 	5749 	6271 	4761 	5107 	4901 	4199 	7545 	4825 
A,TOTAL,GT08,THS_T,PL	36792 	36284 	43873 	42990 	48254 	53356 	51763 	61358 	65669 	70293 	63865 	73999 	76923 	85326 	79657 
A,TOTAL,GT08,THS_T,PT	8400 	6049 	5895 	5869 	5705 	6067 	3990 	3934 	3789 	3517 	3429 	3450 	2405 	2817 	3084 
A,TOTAL,GT08,THS_T,RO	2602 	3379 	2093 	1744 	2001 	2174 	2049 	1936 	2815 	3808 	3220 	3084 	2728 	3389 	2809 
A,TOTAL,GT08,THS_T,SE	8010 	6001 	6743 	6544 	7334 	5368 	10907 	9591 	10135 	10260 	9297 	9615 	6447 	9930 	10405 
A,TOTAL,GT08,THS_T,SI	2686 	2940 	2841 	3249 	2971 	3008 	3762 	3436 	3636 	4058 	3935 	3857 	3848 	3763 	3493 
A,TOTAL,GT08,THS_T,SK	6254 	5171 	4531 	4334 	5258 	7852 	8066 	6238 	7336 	9522 	8492 	8791 	7883 	7795 	7232 
A,TOTAL,GT08,THS_T,UK	97771 	87560 	82687 	71512 	54596 	40313 	48176 	42613 	45947 	51566 	51142 	49878 	: 	: 	: 
A,TOTAL,GT09,THS_T,AT	39991 	36883 	39346 	45134 	41588 	38407 	42629 	40925 	48303 	51850 	50037 	52992 	63250 	77389 	71840 
A,TOTAL,GT09,THS_T,BE	39605 	37916 	34790 	35379 	33632 	34214 	39487 	39974 	40429 	39608 	43080 	48486 	44086 	35676 	47890 
A,TOTAL,GT09,THS_T,BG	35903 	24992 	21219 	20686 	14842 	19855 	15624 	15285 	18266 	16964 	17267 	13946 	18377 	18102 	28225 
A,TOTAL,GT09,THS_T,CH	38762 	38455 	42011 	43872 	49055 	45992 	44126 	42212 	43103 	49623 	44621 	39792 	44088 	40776 	40450 
A,TOTAL,GT09,THS_T,CY	11965 	5021 	7826 	5616 	4259 	3155 	2419 	2722 	5055 	7126 	6448 	8615 	6466 	7326 	8563 
A,TOTAL,GT09,THS_T,CZ	51454 	42139 	34006 	33554 	30529 	34954 	38071 	43483 	41650 	49197 	52047 	56041 	46578 	46006 	49694 
A,TOTAL,GT09,THS_T,DE	227315 	208281 	293120 	344723 	325754 	334426 	347674 	341447 	358775 	385746 	388813 	382089 	392939 	371508 	370109 
A,TOTAL,GT09,THS_T,DK	16714 	11637 	11009 	12958 	13167 	13197 	13361 	14346 	17825 	16711 	15222 	17793 	15709 	19161 	16839 
A,TOTAL,GT09,THS_T,EE	3016 	2296 	1505 	1993 	2133 	1563 	1262 	1576 	1772 	1321 	2211 	1593 	1088 	1191 	951 
A,TOTAL,GT09,THS_T,EL	103863 	43110 	62458 	37710 	41743 	21996 	30837 	32453 	29080 	23774 	28466 	25446 	19155 	31607 	32092 
A,TOTAL,GT09,THS_T,ES	409063 	297514 	253907 	223874 	167131 	141456 	141178 	149458 	161785 	178296 	182137 	200821 	197106 	212809 	217097 
A,TOTAL,GT09,THS_T,EU27_2020	2169978 	1911042 	1935982 	1941116 	1746250 	1660036 	1632886 	1574853 	1571457 	1597351 	1595565 	1682684 	1597156 	1730230 	1759294 
A,TOTAL,GT09,THS_T,FI	28045 	26001 	22892 	21654 	22315 	15873 	16686 	16328 	16791 	17948 	14193 	15561 	19251 	16606 	19774 
A,TOTAL,GT09,THS_T,FR	332358 	445745 	460397 	491897 	498674 	470938 	421683 	381685 	348968 	303348 	274040 	276859 	233969 	301495 	277627 
A,TOTAL,GT09,THS_T,HR	17986 	14021 	11258 	9864 	8683 	7923 	7116 	6744 	7718 	7890 	8049 	10519 	10561 	11154 	12453 
A,TOTAL,GT09,THS_T,HU	33446 	27983 	23550 	17852 	16373 	16635 	19694 	20804 	16500 	14455 	17949 	23199 	16128 	17907 	18688 
A,TOTAL,GT09,THS_T,IE	114847 	21600 	14653 	12573 	12406 	13333 	13666 	15100 	18946 	21689 	22290 	25745 	21294 	22248 	27290 
A,TOTAL,GT09,THS_T,IT	266496 	249713 	285669 	232149 	171257 	158010 	136824 	132563 	110768 	105913 	107873 	119058 	108071 	128847 	128600 
A,TOTAL,GT09,THS_T,LT	6200 	3197 	3479 	3360 	3554 	3621 	4086 	3935 	4420 	4908 	6158 	6591 	7731 	7179 	7582 
A,TOTAL,GT09,THS_T,LU	6176 	5031 	6728 	6232 	5789 	6094 	4601 	3294 	4043 	4208 	4963 	4888 	3612 	5443 	6392 
A,TOTAL,GT09,THS_T,LV	2394 	1761 	1823 	2318 	2441 	2674 	3154 	2481 	2510 	3992 	4492 	4070 	4373 	3583 	4212 
A,TOTAL,GT09,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	189 	213 	262 	358 	229 	128 	: 
A,TOTAL,GT09,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	427 	: 	: 
A,TOTAL,GT09,THS_T,NL	96883 	94773 	70153 	72395 	54654 	66010 	60728 	60686 	62077 	68852 	70898 	75480 	69203 	68295 	75980 
A,TOTAL,GT09,THS_T,NO	15102 	6693 	7470 	11846 	14228 	10285 	10984 	11801 	14782 	11911 	11445 	11090 	14633 	12078 	14070 
A,TOTAL,GT09,THS_T,PL	160137 	166753 	158071 	193432 	177904 	173750 	185684 	161793 	163336 	177766 	177246 	196196 	178554 	193855 	205121 
A,TOTAL,GT09,THS_T,PT	47267 	46363 	42032 	34852 	21186 	16454 	16025 	16139 	15389 	16969 	16468 	18618 	18171 	18475 	17931 
A,TOTAL,GT09,THS_T,RO	76063 	63754 	41476 	44351 	45184 	36713 	37815 	37272 	43060 	38742 	42978 	46322 	51605 	61939 	60731 
A,TOTAL,GT09,THS_T,SE	15492 	10296 	14314 	15947 	14398 	14208 	16525 	15825 	17823 	20194 	20285 	20740 	21073 	24247 	25743 
A,TOTAL,GT09,THS_T,SI	11442 	8912 	10262 	9142 	7246 	6455 	6619 	6968 	5956 	7743 	7537 	7785 	9113 	8445 	9260 
A,TOTAL,GT09,THS_T,SK	15856 	15350 	10039 	11470 	9406 	8118 	9437 	11566 	10213 	12141 	14419 	23229 	19693 	19735 	18612 
A,TOTAL,GT09,THS_T,UK	187649 	131769 	145237 	137116 	119304 	117296 	135830 	140789 	129428 	136246 	138209 	147483 	: 	: 	: 
A,TOTAL,GT10,THS_T,AT	10557 	8712 	8995 	10072 	10098 	9244 	10031 	10127 	9924 	10906 	11818 	11405 	16160 	14632 	13404 
A,TOTAL,GT10,THS_T,BE	17106 	13462 	17494 	13440 	13420 	14593 	15710 	10343 	10731 	10424 	10886 	9619 	9375 	12373 	9826 
A,TOTAL,GT10,THS_T,BG	4229 	3825 	3993 	4752 	3588 	4871 	7403 	5085 	5044 	6532 	4416 	4423 	5873 	8215 	3546 
A,TOTAL,GT10,THS_T,CH	8034 	7469 	7316 	6949 	8214 	9732 	7938 	6536 	6117 	7725 	6063 	6960 	6478 	6654 	7401 
A,TOTAL,GT10,THS_T,CY	1155 	639 	704 	422 	351 	216 	386 	313 	683 	858 	524 	915 	521 	769 	1311 
A,TOTAL,GT10,THS_T,CZ	24252 	17819 	18574 	21970 	21026 	24389 	23830 	25131 	23962 	28395 	27989 	25142 	19711 	21182 	21177 
A,TOTAL,GT10,THS_T,DE	148869 	106593 	136313 	137625 	130644 	137092 	139401 	134591 	132366 	136196 	139203 	131890 	127435 	126721 	121852 
A,TOTAL,GT10,THS_T,DK	4244 	3843 	3318 	3730 	4754 	3928 	5354 	3587 	4135 	3387 	3581 	3028 	3485 	3203 	3036 
A,TOTAL,GT10,THS_T,EE	1507 	888 	1011 	1290 	1307 	1474 	1369 	951 	1307 	1231 	1097 	1159 	1365 	1118 	1068 
A,TOTAL,GT10,THS_T,EL	16104 	14494 	11645 	10548 	13276 	10206 	9531 	5082 	11798 	10042 	18874 	17362 	21170 	16193 	11822 
A,TOTAL,GT10,THS_T,ES	71527 	50399 	53154 	50645 	43498 	42611 	46018 	45783 	50136 	52579 	55634 	57082 	53118 	62806 	53689 
A,TOTAL,GT10,THS_T,EU27_2020	610144 	470521 	536402 	543251 	499941 	509227 	517461 	485714 	507875 	531415 	556561 	554753 	506881 	564860 	530497 
A,TOTAL,GT10,THS_T,FI	12612 	5837 	7480 	9072 	10092 	8356 	9606 	8024 	5507 	7376 	9168 	9235 	6501 	7419 	6518 
A,TOTAL,GT10,THS_T,FR	47457 	46707 	47834 	46596 	38391 	42490 	36011 	31678 	30654 	36884 	40460 	33051 	32849 	30738 	37335 
A,TOTAL,GT10,THS_T,HR	2987 	2147 	2067 	1995 	2028 	1975 	2248 	2156 	2500 	2614 	2336 	2610 	2628 	2983 	2565 
A,TOTAL,GT10,THS_T,HU	9401 	6773 	6847 	6843 	6119 	5727 	6023 	6905 	8620 	7357 	7531 	6906 	6016 	7984 	6414 
A,TOTAL,GT10,THS_T,IE	4623 	2710 	2234 	2163 	1810 	2193 	2149 	1727 	2061 	1810 	1772 	2092 	1145 	1977 	1722 
A,TOTAL,GT10,THS_T,IT	98380 	71573 	98160 	97119 	77643 	65491 	68420 	61808 	65778 	61751 	70050 	73865 	63321 	84030 	76182 
A,TOTAL,GT10,THS_T,LT	1596 	1238 	1381 	1629 	1584 	1626 	1756 	1758 	1895 	2043 	2827 	3195 	3129 	3059 	2814 
A,TOTAL,GT10,THS_T,LU	2743 	2091 	4097 	4737 	3616 	4161 	4826 	3889 	4406 	4658 	4953 	4785 	4137 	4565 	4299 
A,TOTAL,GT10,THS_T,LV	1705 	1000 	903 	1659 	1260 	1608 	1314 	2087 	1566 	1590 	1388 	1575 	1271 	1762 	1261 
A,TOTAL,GT10,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	17 	18 	18 	20 	13 	23 	: 
A,TOTAL,GT10,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	266 	: 	: 
A,TOTAL,GT10,THS_T,NL	30167 	25759 	28521 	30068 	26983 	26950 	27542 	24904 	25097 	24397 	26202 	22845 	21734 	24612 	21995 
A,TOTAL,GT10,THS_T,NO	5935 	3207 	14780 	8306 	3927 	6073 	5691 	3528 	5809 	5653 	6046 	7631 	4735 	4297 	4411 
A,TOTAL,GT10,THS_T,PL	47465 	42706 	45901 	49147 	54653 	65871 	62192 	60479 	69200 	77578 	75752 	87141 	74911 	88127 	85339 
A,TOTAL,GT10,THS_T,PT	10962 	8552 	7313 	8295 	5183 	6241 	5770 	5535 	6113 	5448 	5944 	6472 	5357 	5164 	4199 
A,TOTAL,GT10,THS_T,RO	13608 	11871 	7180 	6253 	6546 	5923 	5827 	5553 	6697 	6951 	6866 	8450 	6499 	7477 	7097 
A,TOTAL,GT10,THS_T,SE	10220 	7130 	6143 	6039 	5520 	5610 	7064 	8820 	8755 	11564 	8265 	11634 	5166 	9199 	12509 
A,TOTAL,GT10,THS_T,SI	4911 	3675 	4737 	5060 	4950 	4871 	4700 	5764 	5625 	6230 	6519 	6483 	5738 	6806 	6088 
A,TOTAL,GT10,THS_T,SK	11759 	10078 	10405 	12080 	11601 	11511 	12982 	13634 	13313 	12613 	12503 	12389 	8267 	11746 	13427 
A,TOTAL,GT10,THS_T,UK	54833 	46814 	46337 	39817 	55033 	37863 	33932 	38512 	42595 	45640 	34865 	28262 	: 	: 	: 
A,TOTAL,GT11,THS_T,AT	2327 	2534 	2296 	2429 	2670 	2624 	1989 	2674 	2649 	2709 	2211 	2483 	5667 	7860 	7430 
A,TOTAL,GT11,THS_T,BE	6450 	6223 	5464 	5327 	5405 	6070 	5570 	9189 	11036 	8492 	10718 	10818 	8084 	7818 	6508 
A,TOTAL,GT11,THS_T,BG	2692 	1977 	1732 	2110 	2322 	2855 	2631 	3184 	2384 	4357 	2628 	2743 	2976 	2904 	2179 
